,age,bldg_sf,coverage,land_area_sf,price_per_sf,price_per_sf_land,property_address,property_city,property_county,property_state,property_street_name,property_street_number,property_zip_code,propertytype,sale_date,sale_price,submarket_name,year_built
0,52,25308,0.24625624,102771,2370.23,583.68,3880-3896 Cross Creek Rd (Part of Multi-Property Sale),Malibu,Los Angeles,CA,Cross Creek Rd,3880,90265,Retail (Neighborhood Center),5/27/14,59985779,Pacific Palisades/Malibu,1966
1,46,17116,0.242549634,70567,2370.23,574.9,3822-3844 Cross Creek Rd (Part of Multi-Property Sale),Malibu,Los Angeles,CA,Cross Creek Rd,3822,90265,Retail (Neighborhood Center),5/27/14,40568855,Pacific Palisades/Malibu,1972
2,52,25308,0.24625624,102771,1520.9,374.53,3880-3896 Cross Creek Rd (Part of Multi-Property Sale),Malibu,Los Angeles,CA,Cross Creek Rd,3880,90265,Retail (Neighborhood Center),7/20/11,38490875,Pacific Palisades/Malibu,1966
3,9,26512,0.037407519,537138,1118.5,55.21,3939 Cross Creek Rd (Part of Multi-Property Sale),Malibu,Los Angeles,CA,Cross Creek Rd,3939,90265,Retail (Neighborhood Center),6/26/12,29653612,Pacific Palisades/Malibu,2009
4,38,28557,0.240122092,118927,976.29,234.43,6261-6263 Topanga Canyon Blvd,Woodland Hills,Los Angeles,CA,Topanga Canyon Blvd,6261,91367,Retail (Neighborhood Center),2/9/16,27880000,Woodland Hills/Warner Ctr,1980
5,46,17116,0.242549634,70567,1520.9,368.89,3822-3844 Cross Creek Rd (Part of Multi-Property Sale),Malibu,Los Angeles,CA,Cross Creek Rd,3822,90265,Retail (Neighborhood Center),7/20/11,26031682,Pacific Palisades/Malibu,1972
6,22,43138,0.19727353,218671,483.33,95.35,1934 E Avenida De Los Arboles,Thousand Oaks,Ventura,CA,Avenida De Los Arboles,1934,91362,Retail (Neighborhood Center),12/2/15,20850000,Thousand Oaks/SE County,1996
7,38,38095,0.2350872,81021,527.12,247.84,2900 Townsgate Rd (Part of Multi-Property Sale),Thousand Oaks,Ventura,CA,Townsgate Rd,2900,91361,Retail (Neighborhood Center),2/25/16,20080532,Thousand Oaks/SE County,1980
8,22,49690,0.274873599,180774,387.63,106.55,24955-24963 Pico Canyon Rd (Part of Multi-Property Sale),Stevenson Ranch,Los Angeles,CA,Pico Canyon Rd,24955,91381,Retail (Community Center),4/12/16,19261235,Santa Clarita Valley,1996
9,31,43151,0.21819662,197762,444,96.88,24237-24445 Magic Mountain Pky (Part of Multi-Property Sale),Valencia,Los Angeles,CA,Magic Mountain Pky,24237,91355,Retail (Community Center),9/20/17,19159045,Santa Clarita Valley,1987
